emp_no,first_name,last_name,birth_date,title,dept_no
10095,Hilari,Morton,1965-01-03,Senior Staff,d007
10122,Ohad,Esposito,1965-01-19,Technique Leader,d005
10291,Dipayan,Seghrouchni,1965-01-23,Senior Staff,d007
10476,Kokou,Iisaka,1965-01-01,Senior Staff,d008
10663,Teunis,Noriega,1965-01-09,Technique Leader,d004
10762,Lech,Himler,1965-01-19,Senior Staff,d008
10933,Juyoung,Seghrouchni,1965-01-24,Senior Engineer,d004
12155,Keiichiro,Glinert,1965-01-21,Senior Engineer,d004
12408,Rasiah,Sudkamp,1965-01-10,Senior Engineer,d005
12643,Morrie,Schurmann,1965-01-30,Staff,d002
13499,Kazuhiko,Sidou,1965-01-16,Technique Leader,d004
14075,Denny,Tchuente,1965-01-03,Engineer,d005
14104,Sudhanshu,Demian,1965-01-03,Senior Staff,d003
14127,Magdalena,Cannard,1965-01-10,Senior Engineer,d004
14158,Caolyn,Setiz,1965-01-22,Senior Staff,d007
14476,Sastry,Marrevee,1965-01-19,Engineer,d004
14907,Nakhoon,Luga,1965-01-14,Senior Staff,d007
15050,Nikolaos,Kruskal,1965-01-18,Senior Engineer,d004
15058,Bouchung,Bugrara,1965-01-30,Senior Staff,d002
15413,Arvin,Rabejac,1965-01-17,Senior Engineer,d005
16461,Remmert,Schahn,1965-01-14,Senior Staff,d007
16528,Gaurav,Swick,1965-01-21,Engineer,d004
17013,Morris,Garigliano,1965-01-15,Senior Staff,d002
17206,Berry,DeMori,1965-01-02,Senior Engineer,d004
17369,Yaghout,Kenevan,1965-01-31,Senior Engineer,d004
17447,Zengping,Boreale,1965-01-11,Staff,d007
17731,Gennady,Roison,1965-01-16,Engineer,d005
17970,Filipp,Carrere,1965-01-06,Technique Leader,d004
17988,Mabhin,Calkin,1965-01-31,Senior Engineer,d004
18021,Adil,Matzke,1965-01-07,Senior Engineer,d005
18424,Filipp,Rousseau,1965-01-19,Senior Engineer,d005
18583,Stafford,Honglei,1965-01-03,Staff,d009
